galleryImageId,productId,variantId,colorVariantId,imageUrl,imageSource,productName,categoryId,categoryName,brandId,brandName,gender,color,price,finalPrice,isActive,availableQuantity
ecc96b7d12b9ee473fea88f5:8fe1c8210cc6ce20f4d0b944:753ba60d2f95479e5d883803,ecc96b7d12b9ee473fea88f5,8fe1c8210cc6ce20f4d0b944,753ba60d2f95479e5d883803,https://buggy.yodycdn.com/images/product/fbf89b0842954dc1ff106286776d0544.webp,color_variant_image,Giày Thể Thao Nam Phối Màu Năng Động,d474e86f5750a85895a4a64d,Giày thể thao,a6c66b8d301ac0218dbc24e0,YODY,male,Đen,49000,39200,true,239
ecc96b7d12b9ee473fea88f5:8fe1c8210cc6ce20f4d0b944:862014aa2913d3d0920c6b81,ecc96b7d12b9ee473fea88f5,8fe1c8210cc6ce20f4d0b944,862014aa2913d3d0920c6b81,https://buggy.yodycdn.com/images/product/8e1d6a0c81fce693d2280276f6e8f345.webp,color_variant_image,Giày Thể Thao Nam Phối Màu Năng Động,d474e86f5750a85895a4a64d,Giày thể thao,a6c66b8d301ac0218dbc24e0,YODY,male,Trắng.,49000,39200,true,240
1484171a0ca7ff7ff92f8916:product_image,1484171a0ca7ff7ff92f8916,,,https://buggy.yodycdn.com/images/product/61e84c2323f87d66d4d22d05828bea83.webp,product_image,Áo Phông Nữ Dáng Suông In Lưng Cá Tính,168770046e53a34e044f8eb0,Áo thun,a6c66b8d301ac0218dbc24e0,YODY,female,,249000,199200,true,960
1484171a0ca7ff7ff92f8916:c4d02ec19785855f557aa01c:b0adbb862b3055f04c09ddbc,1484171a0ca7ff7ff92f8916,c4d02ec19785855f557aa01c,b0adbb862b3055f04c09ddbc,https://buggy.yodycdn.com/images/product/61e84c2323f87d66d4d22d05828bea83.webp,color_variant_image,Áo Phông Nữ Dáng Suông In Lưng Cá Tính,168770046e53a34e044f8eb0,Áo thun,a6c66b8d301ac0218dbc24e0,YODY,female,Trắng in hồng,249000,199200,true,160
1484171a0ca7ff7ff92f8916:c4d02ec19785855f557aa01c:64df63972139f0fb53377191,1484171a0ca7ff7ff92f8916,c4d02ec19785855f557aa01c,64df63972139f0fb53377191,https://buggy.yodycdn.com/images/product/077d995f9181cdba4cd08edfaa8579db.webp,color_variant_image,Áo Phông Nữ Dáng Suông In Lưng Cá Tính,168770046e53a34e044f8eb0,Áo thun,a6c66b8d301ac0218dbc24e0,YODY,female,Trắng in xanh,249000,199200,true,160
1484171a0ca7ff7ff92f8916:c4d02ec19785855f557aa01c:564bd5b965e6d349b1378d6b,1484171a0ca7ff7ff92f8916,c4d02ec19785855f557aa01c,564bd5b965e6d349b1378d6b,https://buggy.yodycdn.com/images/product/9150bf9d1ff231cd336c499ec32beff5.webp,color_variant_image,Áo Phông Nữ Dáng Suông In Lưng Cá Tính,168770046e53a34e044f8eb0,Áo thun,a6c66b8d301ac0218dbc24e0,YODY,female,Trắng in cam,249000,199200,true,160
1484171a0ca7ff7ff92f8916:c4d02ec19785855f557aa01c:ba2c31ec7ef05cf52aafc33d,1484171a0ca7ff7ff92f8916,c4d02ec19785855f557aa01c,ba2c31ec7ef05cf52aafc33d,https://buggy.yodycdn.com/images/product/0325a9604b823a34a8fd34768841bad4.webp,color_variant_image,Áo Phông Nữ Dáng Suông In Lưng Cá Tính,168770046e53a34e044f8eb0,Áo thun,a6c66b8d301ac0218dbc24e0,YODY,female,Đen in hồng,249000,199200,true,160
1484171a0ca7ff7ff92f8916:c4d02ec19785855f557aa01c:684443a6cb2bc859ae95d13f,1484171a0ca7ff7ff92f8916,c4d02ec19785855f557aa01c,684443a6cb2bc859ae95d13f,https://buggy.yodycdn.com/images/product/4f0f96fffa66152fa53213654ff20be5.webp,color_variant_image,Áo Phông Nữ Dáng Suông In Lưng Cá Tính,168770046e53a34e044f8eb0,Áo thun,a6c66b8d301ac0218dbc24e0,YODY,female,Đen in xanh,249000,199200,true,160
1484171a0ca7ff7ff92f8916:c4d02ec19785855f557aa01c:d2f6fdc638ae61ae24e11cf6,1484171a0ca7ff7ff92f8916,c4d02ec19785855f557aa01c,d2f6fdc638ae61ae24e11cf6,https://buggy.yodycdn.com/images/product/ade00aa35c1d36b2894e0e18c56a7854.webp,color_variant_image,Áo Phông Nữ Dáng Suông In Lưng Cá Tính,168770046e53a34e044f8eb0,Áo thun,a6c66b8d301ac0218dbc24e0,YODY,female,Đen in cam,249000,199200,true,160
f45af7b754ca9215eab57f8b:product_image,f45af7b754ca9215eab57f8b,,,https://buggy.yodycdn.com/images/product/07240832d70022e454db057279da14a7.webp,product_image,Đồ Bộ Đùi Nữ Form Rộng Cổ V,353a6b754a244e9636d29f4e,Đồ bộ,a6c66b8d301ac0218dbc24e0,YODY,female,,99000,79200,true,320
